model,field,group,n,positives,negatives,prevalence,threshold,tp,fn,fp,tn,sensitivity,specificity,ppv,npv,accuracy,roc_auc,average_precision,brier,mean_score,No Rejection,Antibody-mediated Rejection,T cell-mediated Rejection,Mixed Rejection,miss_rate,false_flag_rate,miss_wilson_lower,miss_wilson_upper,false_flag_wilson_lower,false_flag_wilson_upper
catboost_all_depth4,Date,20211130,91,48,43,0.5274725274725275,0.8765880870219778,39,9,5,38,0.8125,0.8837209302325582,0.8863636363636364,0.8085106382978723,0.8461538461538461,0.9481589147286821,0.9554675797975628,0.11146216650525388,0.5585038062638328,43,16,26,6,0.1875,0.11627906976744186,0.10191390954847647,0.31939867149284695,0.05070427739804166,0.24479161810082128
catboost_all_depth4,Date,20211201,43,21,22,0.4883720930232558,0.8765880870219778,17,4,0,22,0.8095238095238095,1.0,1.0,0.8461538461538461,0.9069767441860465,0.9826839826839827,0.9833012915311052,0.06533711730181532,0.5168585845172178,22,6,13,2,0.19047619047619047,0.0,0.07667565052761793,0.40000564690204926,0.0,0.14865487460862087
catboost_all_depth4,Date,20211202,43,21,22,0.4883720930232558,0.8765880870219778,18,3,2,20,0.8571428571428571,0.9090909090909091,0.9,0.8695652173913043,0.8837209302325582,0.9610389610389609,0.9669899386146528,0.11402632383056965,0.5568190737029933,22,7,13,1,0.14285714285714285,0.09090909090909091,0.04981012499725268,0.34636060280620945,0.025295428990995267,0.27814946841605814
catboost_all_depth4,Date,20211203,42,21,21,0.5,0.8765880870219778,18,3,0,21,0.8571428571428571,1.0,1.0,0.875,0.9285714285714286,0.9977324263038548,0.997835497835498,0.02457718097702283,0.5244685083069439,21,8,11,2,0.14285714285714285,0.0,0.04981012499725268,0.34636060280620945,0.0,0.154639018924847
catboost_all_depth4,Date,20211210,45,24,21,0.5333333333333333,0.8765880870219778,22,2,0,21,0.9166666666666666,1.0,1.0,0.9130434782608695,0.9555555555555556,0.9880952380952381,0.9907142857142857,0.05588173424914977,0.5498494821905965,21,7,15,2,0.08333333333333333,0.0,0.023158815297043306,0.25848802193210685,0.0,0.154639018924847
catboost_all_depth4,Date,20211216,47,28,19,0.5957446808510638,0.8765880870219778,26,2,0,19,0.9285714285714286,1.0,1.0,0.9047619047619048,0.9574468085106383,0.9981203007518797,0.9987684729064038,0.018979759612496143,0.5920956877053735,19,8,15,5,0.07142857142857142,0.0,0.019812064115305755,0.22645362568399052,0.0,0.16817922405261626
catboost_all_depth4,Date,20211221,34,6,28,0.17647058823529413,0.8765880870219778,4,2,1,27,0.6666666666666666,0.9642857142857143,0.8,0.9310344827586207,0.9117647058823529,0.8154761904761905,0.78125,0.1386777910293555,0.2957956537061471,28,4,2,0,0.3333333333333333,0.03571428571428571,0.09677141110578041,0.700006684861608,0.0063325198490377516,0.1771219774335332
catboost_all_depth4,CartridgeID,V20211130-G001-1,11,6,5,0.5454545454545454,0.8765880870219778,6,0,2,3,1.0,0.6,0.75,1.0,0.8181818181818182,0.9666666666666668,0.976190476190476,0.16892031684916153,0.7227314425058314,5,2,3,1,0.0,0.4,2.7755575615628914e-17,0.3903342879021653,0.11762077423264783,0.769275718723987
catboost_all_depth4,CartridgeID,V20211130-G002-2,11,6,5,0.5454545454545454,0.8765880870219778,3,3,0,5,0.5,1.0,1.0,0.625,0.7272727272727273,0.8666666666666667,0.8972222222222221,0.1622419358728512,0.45231455405242793,5,2,3,1,0.5,0.0,0.1876163064826506,0.8123836935173494,0.0,0.43448246478317476
catboost_all_depth4,CartridgeID,V20211130-G003-3,11,5,6,0.45454545454545453,0.8765880870219778,4,1,2,4,0.8,0.6666666666666666,0.6666666666666666,0.8,0.7272727272727273,0.8666666666666667,0.8528571428571428,0.19118002080961255,0.5968799803413225,6,2,3,0,0.2,0.3333333333333333,0.03622410863243014,0.6244653702374747,0.09677141110578041,0.700006684861608
catboost_all_depth4,CartridgeID,V20211130-G004-4,12,7,5,0.5833333333333334,0.8765880870219778,7,0,0,5,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,0.0007713088149895507,0.5861351546164678,5,2,4,1,0.0,0.0,5.551115123125783e-17,0.35433043506668743,0.0,0.43448246478317476
catboost_all_depth4,CartridgeID,V20211201-G011-1,11,5,6,0.45454545454545453,0.8765880870219778,4,1,0,6,0.8,1.0,1.0,0.8571428571428571,0.9090909090909091,0.9666666666666667,0.9666666666666666,0.061070561566494604,0.5141562258026858,6,2,3,0,0.2,0.0,0.03622410863243014,0.6244653702374747,2.7755575615628914e-17,0.3903342879021653
catboost_all_depth4,CartridgeID,V20211201-G012-2,10,5,5,0.5,0.8765880870219778,5,0,0,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06943893888018209,0.5883257685266401,5,1,3,1,0.0,0.0,0.0,0.43448246478317476,0.0,0.43448246478317476
catboost_all_depth4,CartridgeID,V20211201-G013-3,11,5,6,0.45454545454545453,0.8765880870219778,4,1,0,6,0.8,1.0,1.0,0.8571428571428571,0.9090909090909091,1.0,1.0,0.004785654412275354,0.4350608084466883,6,2,3,0,0.2,0.0,0.03622410863243014,0.6244653702374747,2.7755575615628914e-17,0.3903342879021653
