split,field,group,n,split_n,fraction
train,histology,No Rejection,267,787,0.3392630241423126
train,histology,T cell-mediated Rejection,256,787,0.3252858958068615
train,histology,Antibody-mediated Rejection,207,787,0.2630241423125794
train,histology,Mixed Rejection,57,787,0.0724269377382465
train,Date,20211028,37,787,0.04701397712833545
train,Date,20211020,36,787,0.045743329097839895
train,Date,20211029,35,787,0.044472681067344345
train,Date,20210924,34,787,0.043202033036848796
train,Date,20211104,34,787,0.043202033036848796
train,Date,20210928,32,787,0.04066073697585769
train,Date,20211102,32,787,0.04066073697585769
train,Date,20211109,32,787,0.04066073697585769
train,Date,20211116,31,787,0.03939008894536213
train,Date,20211027,28,787,0.035578144853875476
train,Date,20210929,27,787,0.03430749682337993
train,Date,20211006,26,787,0.03303684879288437
train,Date,20211105,25,787,0.03176620076238882
train,Date,20211110,24,787,0.030495552731893267
train,Date,20211111,24,787,0.030495552731893267
train,Date,20211112,22,787,0.02795425667090216
train,Date,20210902,21,787,0.026683608640406607
train,Date,20211103,20,787,0.025412960609911054
train,Date,20210907,19,787,0.0241423125794155
train,Date,20210914,17,787,0.021601016518424398
train,Date,20210921,17,787,0.021601016518424398
train,Date,20210831,16,787,0.020330368487928845
train,Date,20210903,16,787,0.020330368487928845
train,Date,20210916,16,787,0.020330368487928845
train,Date,20210917,16,787,0.020330368487928845
train,Date,20210923,16,787,0.020330368487928845
train,Date,20211008,16,787,0.020330368487928845
train,Date,20210908,15,787,0.01905972045743329
train,Date,20210909,15,787,0.01905972045743329
train,Date,20210920,15,787,0.01905972045743329
train,Date,20211117,15,787,0.01905972045743329
train,Date,20211019,13,787,0.016518424396442185
train,Date,20210922,12,787,0.015247776365946633
train,Date,20210812,9,787,0.011435832274459974
train,Date,20210817,9,787,0.011435832274459974
train,Date,20210901,9,787,0.011435832274459974
train,Date,20210820,6,787,0.007623888182973317
train,CartridgeID,D20210907-G012-2,12,787,0.015247776365946633
train,CartridgeID,D20210902-G006-1,11,787,0.01397712833545108
train,CartridgeID,D20210929-G040-2,11,787,0.01397712833545108
train,CartridgeID,D20211027-G055-3,11,787,0.01397712833545108
train,CartridgeID,D20211104-G071-1,11,787,0.01397712833545108
train,CartridgeID,D20211109-G080-2,11,787,0.01397712833545108
train,CartridgeID,D20210902-G008-2,10,787,0.012706480304955527
train,CartridgeID,D20210903-G009-1,10,787,0.012706480304955527
train,CartridgeID,D20210917-G026-2,10,787,0.012706480304955527
train,CartridgeID,D20210921-G027-1,10,787,0.012706480304955527
train,CartridgeID,D20210928-G037-3,10,787,0.012706480304955527
train,CartridgeID,D20211020-G044-1,10,787,0.012706480304955527
train,CartridgeID,D20211020-G049-3,10,787,0.012706480304955527
train,CartridgeID,D20211027-G053-1,10,787,0.012706480304955527
train,CartridgeID,D20211028-G057-2,10,787,0.012706480304955527
train,CartridgeID,D20211029-G060-1,10,787,0.012706480304955527
train,CartridgeID,D20211029-G062-3,10,787,0.012706480304955527
train,CartridgeID,D20211105-G076-2,10,787,0.012706480304955527
train,CartridgeID,D20211116-G091-1,10,787,0.012706480304955527
train,CartridgeID,D20210812-1,9,787,0.011435832274459974
train,CartridgeID,D20210817-1,9,787,0.011435832274459974
train,CartridgeID,D20210831-G004-1,9,787,0.011435832274459974
train,CartridgeID,D20210901-G007-1,9,787,0.011435832274459974
train,CartridgeID,D20210908-G013-1,9,787,0.011435832274459974
train,CartridgeID,D20210914-G021-1,9,787,0.011435832274459974
train,CartridgeID,D20210920-G018-2,9,787,0.011435832274459974
train,CartridgeID,D20210923-G034-1,9,787,0.011435832274459974
train,CartridgeID,D20210924-G019-1,9,787,0.011435832274459974
train,CartridgeID,D20210924-G020-2,9,787,0.011435832274459974
train,CartridgeID,D20211006-G042-1,9,787,0.011435832274459974
train,CartridgeID,D20211006-G043-2,9,787,0.011435832274459974
train,CartridgeID,D20211008-G047-2,9,787,0.011435832274459974
train,CartridgeID,D20211028-G056-1,9,787,0.011435832274459974
train,CartridgeID,D20211028-G058-3,9,787,0.011435832274459974
train,CartridgeID,D20211028-G059-4,9,787,0.011435832274459974
train,CartridgeID,D20211102-G065-2,9,787,0.011435832274459974
train,CartridgeID,D20211102-G066-3,9,787,0.011435832274459974
train,CartridgeID,D20211112-G089-2,9,787,0.011435832274459974
train,CartridgeID,D20211116-G092-2,9,787,0.011435832274459974
train,CartridgeID,D20211116-G093-3,9,787,0.011435832274459974
train,CartridgeID,D20210909-G016-2,8,787,0.010165184243964422
train,CartridgeID,D20210914-G022-2,8,787,0.010165184243964422
train,CartridgeID,D20210916-G023-1,8,787,0.010165184243964422
train,CartridgeID,D20210916-G024-2,8,787,0.010165184243964422
train,CartridgeID,D20210922-G031-2,8,787,0.010165184243964422
train,CartridgeID,D20210924-G032-3,8,787,0.010165184243964422
train,CartridgeID,D20210924-G033-4,8,787,0.010165184243964422
train,CartridgeID,D20210928-G036-2,8,787,0.010165184243964422
train,CartridgeID,D20210929-G039-1,8,787,0.010165184243964422
train,CartridgeID,D20210929-G041-3,8,787,0.010165184243964422
train,CartridgeID,D20211006-G045-3,8,787,0.010165184243964422
train,CartridgeID,D20211020-G048-2,8,787,0.010165184243964422
train,CartridgeID,D20211020-G050-4,8,787,0.010165184243964422
train,CartridgeID,D20211029-G061-2,8,787,0.010165184243964422
train,CartridgeID,D20211103-G070-3,8,787,0.010165184243964422
train,CartridgeID,D20211104-G072-2,8,787,0.010165184243964422
train,CartridgeID,D20211104-G074-4,8,787,0.010165184243964422
train,CartridgeID,D20211105-G075-1,8,787,0.010165184243964422
train,CartridgeID,D20211109-G083-4,8,787,0.010165184243964422
train,CartridgeID,D20211110-G084-1,8,787,0.010165184243964422
train,CartridgeID,D20211110-G085-2,8,787,0.010165184243964422
train,CartridgeID,D20211110-G086-3,8,787,0.010165184243964422
train,CartridgeID,D20211111-G078-1,8,787,0.010165184243964422
train,CartridgeID,D20211111-G081-2,8,787,0.010165184243964422
train,CartridgeID,D20211111-G087-3,8,787,0.010165184243964422
train,CartridgeID,D20211117-G095-1,8,787,0.010165184243964422
train,CartridgeID,D20210831-G005-2,7,787,0.008894536213468869
train,CartridgeID,D20210907-G011-1,7,787,0.008894536213468869
train,CartridgeID,D20210909-G015-1,7,787,0.008894536213468869
train,CartridgeID,D20210921-G028-2,7,787,0.008894536213468869
train,CartridgeID,D20210923-G035-2,7,787,0.008894536213468869
train,CartridgeID,D20210928-G029-1,7,787,0.008894536213468869
train,CartridgeID,D20210928-G038-4,7,787,0.008894536213468869
train,CartridgeID,D20211008-G046-1,7,787,0.008894536213468869
train,CartridgeID,D20211019-G052-2,7,787,0.008894536213468869
train,CartridgeID,D20211027-G054-2,7,787,0.008894536213468869
train,CartridgeID,D20211029-G063-4,7,787,0.008894536213468869
train,CartridgeID,D20211102-G064-1,7,787,0.008894536213468869
train,CartridgeID,D20211102-G067-4,7,787,0.008894536213468869
train,CartridgeID,D20211103-G068-1,7,787,0.008894536213468869
train,CartridgeID,D20211104-G073-3,7,787,0.008894536213468869
train,CartridgeID,D20211105-G077-3,7,787,0.008894536213468869
train,CartridgeID,D20211109-G082-3,7,787,0.008894536213468869
train,CartridgeID,D20211112-G090-3,7,787,0.008894536213468869
train,CartridgeID,D20211117-G096-2,7,787,0.008894536213468869
train,CartridgeID,D20210820-G003-1,6,787,0.007623888182973317
train,CartridgeID,D20210903-G010-2,6,787,0.007623888182973317
train,CartridgeID,D20210908-G014-2,6,787,0.007623888182973317
train,CartridgeID,D20210917-G025-1,6,787,0.007623888182973317
train,CartridgeID,D20210920-G017-1,6,787,0.007623888182973317
train,CartridgeID,D20211019-G051-1,6,787,0.007623888182973317
train,CartridgeID,D20211109-G079-1,6,787,0.007623888182973317
train,CartridgeID,D20211112-G088-1,6,787,0.007623888182973317
train,CartridgeID,D20211103-G069-2,5,787,0.0063532401524777635
train,CartridgeID,D20210922-G030-1,4,787,0.005082592121982211
train,CartridgeID,D20211116-G094-4,3,787,0.0038119440914866584
train,ScannerID,2010C0748,787,787,1.0
