model,metric,estimate,lower,upper,valid_replicates
catboost_all_depth4,sensitivity,0.8520710059171598,0.7966101694915254,0.9066683937823834,2000
catboost_all_depth4,specificity,0.9545454545454546,0.9235294117647059,0.9831460674157303,2000
catboost_all_depth4,ppv,0.9473684210526315,0.9103448275862069,0.9802631578947368,2000
catboost_all_depth4,npv,0.8704663212435233,0.8195766615485852,0.9183777064125143,2000
catboost_all_depth4,roc_auc,0.9687668101129641,0.9516197625080631,0.9829580404696663,2000
catboost_all_depth4,average_precision,0.9715838816061155,0.9554066111752393,0.9842258401331972,2000
catboost_all_depth4,accuracy,0.9043478260869565,0.8724637681159421,0.936231884057971,2000
catboost_all_depth4,brier,0.07828898075276164,0.05713489866951437,0.10066854220048777,2000
catboost_all_depth4,mean_score,0.5265172152727765,0.4762153157766491,0.5743852439189636,2000
catboost_all_depth4,fn,25.0,15.0,35.0,2000
catboost_all_depth4,fp,8.0,3.0,14.0,2000
logistic_all,sensitivity,0.8047337278106509,0.7428529657477027,0.8650395233600755,2000
logistic_all,specificity,0.9545454545454546,0.9212001108647451,0.981710088691796,2000
logistic_all,ppv,0.9444444444444444,0.9038362068965518,0.9787234042553191,2000
logistic_all,npv,0.835820895522388,0.7821782178217822,0.8882695743413777,2000
logistic_all,roc_auc,0.9556885422270038,0.9347058687178922,0.9743938355260954,2000
logistic_all,average_precision,0.9579113432616737,0.9358857306671199,0.976709130629632,2000
logistic_all,accuracy,0.881159420289855,0.8463768115942029,0.9159420289855073,2000
logistic_all,brier,0.08580954963974592,0.06489178776209585,0.10860847028992085,2000
logistic_all,mean_score,0.518493431833302,0.4710128159207627,0.5643417793123646,2000
logistic_all,fn,33.0,22.0,45.0,2000
logistic_all,fp,8.0,3.0,14.0,2000
single_gene_IFNG,sensitivity,0.9171597633136095,0.8707865168539326,0.9565217391304348,2000
single_gene_IFNG,specificity,0.5738636363636364,0.5029922610918514,0.6445928876797512,2000
single_gene_IFNG,ppv,0.6739130434782609,0.6111048265460031,0.7316071428571428,2000
single_gene_IFNG,npv,0.8782608695652174,0.8129954268292683,0.9345794392523364,2000
single_gene_IFNG,roc_auc,0.8424220010758472,0.7992848808583068,0.884096280927304,2000
single_gene_IFNG,average_precision,0.7943738195631976,0.7244542881814923,0.866741663488793,2000
single_gene_IFNG,accuracy,0.7420289855072464,0.6956521739130435,0.7884057971014493,2000
single_gene_IFNG,brier,0.18505666654702646,0.16253969685611103,0.2087747904395674,2000
single_gene_IFNG,mean_score,0.6361132025168996,0.6097414441095006,0.6607202145958778,2000
single_gene_IFNG,fn,14.0,7.0,22.0,2000
single_gene_IFNG,fp,75.0,61.0,91.0,2000
training_prevalence,sensitivity,1.0,1.0,1.0,2000
training_prevalence,specificity,0.0,0.0,0.0,2000
training_prevalence,ppv,0.48985507246376814,0.43478260869565216,0.5391304347826087,2000
training_prevalence,npv,,,,0
training_prevalence,roc_auc,0.5,0.5,0.5,2000
training_prevalence,average_precision,0.48985507246376814,0.43478260869565216,0.5391304347826087,2000
training_prevalence,accuracy,0.48985507246376814,0.43478260869565216,0.5391304347826087,2000
training_prevalence,brier,0.2790977053528134,0.2632569599059688,0.2968020679110514,2000
training_prevalence,mean_score,0.6607369758576873,0.6607369758576873,0.6607369758576873,2000
training_prevalence,fn,0.0,0.0,0.0,2000
training_prevalence,fp,176.0,159.0,195.0,2000
