model,bin,lower_edge,upper_edge,n,positives,mean_score,observed_fraction,wilson_lower,wilson_upper
catboost_all_depth4,1,0.0,0.1,135,4,0.022359869369339605,0.02962962962962963,0.011581456715444326,0.07370617221956058
catboost_all_depth4,2,0.1,0.2,12,3,0.15083090908871563,0.25,0.08894166839405471,0.5323053349335657
catboost_all_depth4,3,0.2,0.3,3,1,0.2568683531324245,0.3333333333333333,0.06149194472039621,0.7923403991979522
catboost_all_depth4,4,0.3,0.4,9,2,0.3352898211380466,0.2222222222222222,0.06322510711784671,0.5474110308930111
catboost_all_depth4,5,0.4,0.5,4,2,0.4627839649557056,0.5,0.15003898915214947,0.8499610108478506
catboost_all_depth4,6,0.5,0.6,4,2,0.5356625072484703,0.5,0.15003898915214947,0.8499610108478506
catboost_all_depth4,7,0.6,0.7,8,3,0.6659202045355184,0.375,0.13684428582359742,0.6942576053973727
catboost_all_depth4,8,0.7,0.8,6,3,0.764536846980779,0.5,0.1876163064826506,0.8123836935173494
catboost_all_depth4,9,0.8,0.9,16,7,0.8471963635166453,0.4375,0.23098652405492354,0.6682144360118811
catboost_all_depth4,10,0.9,1.0,148,142,0.9835686629884521,0.9594594594594594,0.9143814308173778,0.9812896267203338
logistic_all,1,0.0,0.1,119,5,0.017511527664296495,0.04201680672268908,0.018078474459665816,0.09459894693841324
logistic_all,2,0.1,0.2,22,5,0.14504791429393624,0.22727272727272727,0.10123039985248516,0.4343995317522171
logistic_all,3,0.2,0.3,10,1,0.24484260352432208,0.1,0.017876213095072896,0.4041500267952385
logistic_all,4,0.3,0.4,8,4,0.37785788467600445,0.5,0.21521606221387757,0.7847839377861224
logistic_all,5,0.4,0.5,12,2,0.460989581620925,0.16666666666666666,0.04696514218385378,0.4480308622529734
logistic_all,6,0.5,0.6,7,4,0.5602563645497585,0.5714285714285714,0.2504583645276572,0.8417801447485302
logistic_all,7,0.6,0.7,11,5,0.6449175377061152,0.45454545454545453,0.21271271622459764,0.719908462590678
logistic_all,8,0.7,0.8,7,3,0.7667351694686138,0.42857142857142855,0.15821985525146975,0.7495416354723428
logistic_all,9,0.8,0.9,9,7,0.8454749425168958,0.7777777777777778,0.45258896910698887,0.9367748928821533
logistic_all,10,0.9,1.0,140,133,0.990070256059436,0.95,0.9003926927042931,0.9755717269632351
single_gene_IFNG,1,0.0,0.1,5,0,0.050938287660607484,0.0,0.0,0.43448246478317476
single_gene_IFNG,2,0.1,0.2,15,0,0.15904631722236653,0.0,0.0,0.20388330103584862
single_gene_IFNG,3,0.2,0.3,21,2,0.25554475058157994,0.09523809523809523,0.02651876743807452,0.2891413907391826
single_gene_IFNG,4,0.3,0.4,33,4,0.35094847461405365,0.12121212121212122,0.04816161309413558,0.2732550517107523
single_gene_IFNG,5,0.4,0.5,35,5,0.44922375223652794,0.14285714285714285,0.06260231079433715,0.29375554086595146
single_gene_IFNG,6,0.5,0.6,28,7,0.5465605687156457,0.25,0.12676494919293316,0.4335567031899896
single_gene_IFNG,7,0.6,0.7,42,21,0.6516826633068881,0.5,0.3552598959637448,0.6447401040362553
single_gene_IFNG,8,0.7,0.8,48,34,0.7480145843649849,0.7083333333333334,0.5682074019042831,0.8175842107348348
single_gene_IFNG,9,0.8,0.9,56,45,0.8455790656042224,0.8035714285714286,0.681553923735416,0.8866140432567635
single_gene_IFNG,10,0.9,1.0,62,51,0.9389774582686025,0.8225806451612904,0.7095843311430364,0.8979356223399492
training_prevalence,1,0.0,0.1,0,0,,,,
training_prevalence,2,0.1,0.2,0,0,,,,
training_prevalence,3,0.2,0.3,0,0,,,,
training_prevalence,4,0.3,0.4,0,0,,,,
training_prevalence,5,0.4,0.5,0,0,,,,
training_prevalence,6,0.5,0.6,0,0,,,,
training_prevalence,7,0.6,0.7,345,169,0.6607369758576873,0.48985507246376814,0.4375083188729886,0.5424252589085501
training_prevalence,8,0.7,0.8,0,0,,,,
training_prevalence,9,0.8,0.9,0,0,,,,
training_prevalence,10,0.9,1.0,0,0,,,,
