cohort,diagnosis,target,n,min,p10,p25,median,p75,p90,max,mean,raw_count_median,raw_count_max
Author technical validation,Antibody-mediated Rejection,BK  large T Ag,56,-8.4845273,-6.7246658,-6.3418771,-5.8637882,-5.4789711,-5.2422041,-4.9765565,-5.9491617,5,12
Author technical validation,Antibody-mediated Rejection,BK  VP1,56,-6.967612,-5.6817598,-5.3006833,-4.9898624,-4.5654249,-4.2948758,-2.9215254,-4.9737977,10,21
Author technical validation,Mixed Rejection,BK  large T Ag,18,-6.5660878,-6.3659308,-5.9875775,-5.7270219,-5.5459916,-5.4590672,-5.2234028,-5.7920098,4,7
Author technical validation,Mixed Rejection,BK  VP1,18,-6.253465,-5.0872776,-4.8028574,-4.3935507,-3.7384102,-3.2325955,-2.9014747,-4.3065253,14.5,24
Author technical validation,No Rejection,BK  large T Ag,176,-7.8486871,-6.6731746,-6.3699433,-5.9300435,-5.4820147,-5.0916848,4.4455005,-5.7173685,5,7745
Author technical validation,No Rejection,BK  VP1,176,-8.8486871,-6.3105256,-5.8546345,-5.4151625,-4.8516178,-4.0789903,6.1130459,-4.9963694,8,24606
Author technical validation,T cell-mediated Rejection,BK  large T Ag,95,-7.8037504,-6.9849958,-6.5630132,-5.9705604,-5.5825469,-5.1807923,-4.0072615,-6.0501336,5,16
Author technical validation,T cell-mediated Rejection,BK  VP1,95,-8.5778519,-5.8174391,-5.0243636,-4.5010943,-4.0453915,-3.6891189,-2.0351249,-4.6002481,15,37
Discovery,Antibody-mediated Rejection,BK  large T Ag,276,-8.832083,-7.2798087,-6.6651715,-6.0938221,-5.6590579,-5.2000285,-3.5483734,-6.1774947,4,12
Discovery,Antibody-mediated Rejection,BK  VP1,276,-7.9487516,-6.1215453,-5.6264861,-5.0175393,-4.6062642,-4.2517045,-2.958925,-5.1304659,9,26
Discovery,Mixed Rejection,BK  large T Ag,76,-7.9268733,-7.0465442,-6.4303586,-5.9497721,-5.3542922,-4.9694473,-4.261836,-5.9746541,3,12
Discovery,Mixed Rejection,BK  VP1,76,-6.2150528,-5.2164981,-4.8083522,-4.2384853,-3.7509528,-3.3764669,-2.2446496,-4.2922758,13,26
Discovery,No Rejection,BK  large T Ag,356,-8.802266,-7.0594702,-6.5203771,-5.9733026,-5.4418877,-4.8398169,6.7937933,-5.5360862,5,19098
Discovery,No Rejection,BK  VP1,356,-9.3304263,-6.5815742,-5.9898176,-5.2976107,-4.6565494,-3.2939444,7.2732537,-4.742978,8,58699
Discovery,T cell-mediated Rejection,BK  large T Ag,342,-8.9679457,-6.9105528,-6.4026279,-5.9002361,-5.4532345,-5.1127041,-3.9079988,-5.956754,4,15
Discovery,T cell-mediated Rejection,BK  VP1,342,-7.9138107,-5.8322755,-5.1826059,-4.6130109,-4.040824,-3.435101,-2.4027852,-4.6379407,11,34
