split,model,target,n,positives,threshold,tp,fp,tn,fn,sensitivity,specificity,precision,npv,accuracy,sensitivity_lower,sensitivity_upper,specificity_lower,specificity_upper,roc_auc,average_precision
discovery_screen,four_class_catboost,antibody_mediated_component,263,88,0.4153303652908574,80,11,164,8,0.9090909090909091,0.9371428571428572,0.8791208791208791,0.9534883720930233,0.9277566539923955,0.8307460942048916,0.9532135785238329,0.8909638798720758,0.9645424496384507,0.9625324675324676,0.9515636097208193
discovery_screen,four_class_catboost,t_cell_mediated_component,263,105,0.4079478145920509,95,15,143,10,0.9047619047619048,0.9050632911392406,0.8636363636363636,0.934640522875817,0.9049429657794676,0.8335087237779633,0.9474436901365668,0.8492760144092627,0.9416214535986883,0.9569620253164557,0.9184541998511965
discovery_screen,four_class_logistic,antibody_mediated_component,263,88,0.3245429918947258,80,9,166,8,0.9090909090909091,0.9485714285714286,0.898876404494382,0.9540229885057471,0.935361216730038,0.8307460942048916,0.9532135785238329,0.9051620819910615,0.9727104260687598,0.9645454545454545,0.9599229898710214
discovery_screen,four_class_logistic,t_cell_mediated_component,263,105,0.3607582863697376,95,18,140,10,0.9047619047619048,0.8860759493670886,0.8407079646017699,0.9333333333333333,0.8935361216730038,0.8335087237779633,0.9474436901365668,0.8271123815143635,0.9267117676807146,0.9525617842073538,0.9022743378468078
discovery_screen,separate_components,antibody_mediated_component,263,88,0.28974403910876173,80,11,164,8,0.9090909090909091,0.9371428571428572,0.8791208791208791,0.9534883720930233,0.9277566539923955,0.8307460942048916,0.9532135785238329,0.8909638798720758,0.9645424496384507,0.9662337662337662,0.9562229564891294
discovery_screen,separate_components,t_cell_mediated_component,263,105,0.5048651647359682,95,9,149,10,0.9047619047619048,0.9430379746835443,0.9134615384615384,0.9371069182389937,0.9277566539923955,0.8335087237779633,0.9474436901365668,0.8952981845482706,0.9697459210854258,0.9508740204942736,0.8888639325639259
author_validation,four_class_catboost,antibody_mediated_component,345,74,0.4153303652908574,62,15,256,12,0.8378378378378378,0.9446494464944649,0.8051948051948052,0.9552238805970149,0.9217391304347826,0.7376018659372965,0.9047293642002805,0.9106958347362821,0.966173328431811,0.9616535354542735,0.9045367921235875
author_validation,four_class_catboost,t_cell_mediated_component,345,113,0.4079478145920509,96,28,204,17,0.8495575221238938,0.8793103448275862,0.7741935483870968,0.9230769230769231,0.8695652173913043,0.772230734012465,0.9038991328803649,0.8310993328184618,0.915164707779292,0.941028379615502,0.905881725293352
author_validation,four_class_logistic,antibody_mediated_component,345,74,0.3245429918947258,64,21,250,10,0.8648648648648649,0.922509225092251,0.7529411764705882,0.9615384615384616,0.9101449275362319,0.7688082144747669,0.9249095140738163,0.8844474304722023,0.9487601976003843,0.9638476114490875,0.9183364560262997
author_validation,four_class_logistic,t_cell_mediated_component,345,113,0.3607582863697376,92,30,202,21,0.8141592920353983,0.8706896551724138,0.7540983606557377,0.905829596412556,0.8521739130434782,0.7325480865089783,0.8751129331035653,0.8214042754323481,0.9078992187881842,0.9314159292035398,0.891788055465526
author_validation,separate_components,antibody_mediated_component,345,74,0.28974403910876173,63,14,257,11,0.8513513513513513,0.948339483394834,0.8181818181818182,0.9589552238805971,0.927536231884058,0.753105074828074,0.9149194045150061,0.9151653240552412,0.9689807616287699,0.9646953226289019,0.9112603555901111
author_validation,separate_components,t_cell_mediated_component,345,113,0.5048651647359682,89,17,215,24,0.7876106194690266,0.9267241379310345,0.839622641509434,0.899581589958159,0.881159420289855,0.7033939238268223,0.8529154603255062,0.8857971583152405,0.9537498873572327,0.9386252670125114,0.9068926715543155
