split,model,actual,predicted,n
discovery_screen,four_class_catboost,No Rejection,No Rejection,82
discovery_screen,four_class_catboost,No Rejection,Antibody-mediated Rejection,2
discovery_screen,four_class_catboost,No Rejection,T cell-mediated Rejection,4
discovery_screen,four_class_catboost,No Rejection,Mixed Rejection,1
discovery_screen,four_class_catboost,Antibody-mediated Rejection,No Rejection,4
discovery_screen,four_class_catboost,Antibody-mediated Rejection,Antibody-mediated Rejection,58
discovery_screen,four_class_catboost,Antibody-mediated Rejection,T cell-mediated Rejection,4
discovery_screen,four_class_catboost,Antibody-mediated Rejection,Mixed Rejection,3
discovery_screen,four_class_catboost,T cell-mediated Rejection,No Rejection,6
discovery_screen,four_class_catboost,T cell-mediated Rejection,Antibody-mediated Rejection,4
discovery_screen,four_class_catboost,T cell-mediated Rejection,T cell-mediated Rejection,75
discovery_screen,four_class_catboost,T cell-mediated Rejection,Mixed Rejection,1
discovery_screen,four_class_catboost,Mixed Rejection,No Rejection,0
discovery_screen,four_class_catboost,Mixed Rejection,Antibody-mediated Rejection,5
discovery_screen,four_class_catboost,Mixed Rejection,T cell-mediated Rejection,5
discovery_screen,four_class_catboost,Mixed Rejection,Mixed Rejection,9
discovery_screen,four_class_logistic,No Rejection,No Rejection,79
discovery_screen,four_class_logistic,No Rejection,Antibody-mediated Rejection,3
discovery_screen,four_class_logistic,No Rejection,T cell-mediated Rejection,7
discovery_screen,four_class_logistic,No Rejection,Mixed Rejection,0
discovery_screen,four_class_logistic,Antibody-mediated Rejection,No Rejection,2
discovery_screen,four_class_logistic,Antibody-mediated Rejection,Antibody-mediated Rejection,59
discovery_screen,four_class_logistic,Antibody-mediated Rejection,T cell-mediated Rejection,5
discovery_screen,four_class_logistic,Antibody-mediated Rejection,Mixed Rejection,3
discovery_screen,four_class_logistic,T cell-mediated Rejection,No Rejection,5
discovery_screen,four_class_logistic,T cell-mediated Rejection,Antibody-mediated Rejection,1
discovery_screen,four_class_logistic,T cell-mediated Rejection,T cell-mediated Rejection,79
discovery_screen,four_class_logistic,T cell-mediated Rejection,Mixed Rejection,1
discovery_screen,four_class_logistic,Mixed Rejection,No Rejection,0
discovery_screen,four_class_logistic,Mixed Rejection,Antibody-mediated Rejection,5
discovery_screen,four_class_logistic,Mixed Rejection,T cell-mediated Rejection,5
