split,model,diagnosis,actual_n,predicted_n,correct,missed_class,false_class,sensitivity,precision,sensitivity_lower,sensitivity_upper,precision_lower,precision_upper
discovery_screen,four_class_catboost,No Rejection,89,92,82,7,10,0.9213483146067416,0.8913043478260869,0.846448576179568,0.961380177834826,0.8113621754329581,0.9398784764304682
discovery_screen,four_class_catboost,Antibody-mediated Rejection,69,69,58,11,11,0.8405797101449275,0.8405797101449275,0.7366551828518044,0.9085817572223196,0.7366551828518044,0.9085817572223196
discovery_screen,four_class_catboost,T cell-mediated Rejection,86,88,75,11,13,0.872093023255814,0.8522727272727273,0.7853122106350142,0.9270537820825729,0.7634888952813075,0.9115874895684275
discovery_screen,four_class_catboost,Mixed Rejection,19,14,9,10,5,0.47368421052631576,0.6428571428571429,0.2732980516117956,0.6829219075488682,0.38764423103907397,0.8365526824644587
discovery_screen,four_class_logistic,No Rejection,89,86,79,10,7,0.8876404494382022,0.9186046511627907,0.8053898870598024,0.93781256663344,0.8413981733460679,0.9600135684612175
discovery_screen,four_class_logistic,Antibody-mediated Rejection,69,68,59,10,9,0.855072463768116,0.8676470588235294,0.7533647839478652,0.9193290471932429,0.7671994025434227,0.928777555897702
discovery_screen,four_class_logistic,T cell-mediated Rejection,86,96,79,7,17,0.9186046511627907,0.8229166666666666,0.8413981733460679,0.9600135684612175,0.7345895948319192,0.8863949213433322
discovery_screen,four_class_logistic,Mixed Rejection,19,13,9,10,4,0.47368421052631576,0.6923076923076923,0.2732980516117956,0.6829219075488682,0.42369343180549035,0.8731929634428948
discovery_screen,separate_components,No Rejection,89,94,83,6,11,0.9325842696629213,0.8829787234042553,0.8606322391743677,0.9687386149470767,0.8024979953786057,0.9333863717172325
discovery_screen,separate_components,Antibody-mediated Rejection,69,65,59,10,6,0.855072463768116,0.9076923076923077,0.7533647839478652,0.9193290471932429,0.8128799948403962,0.9570049103886591
discovery_screen,separate_components,T cell-mediated Rejection,86,78,72,14,6,0.8372093023255814,0.9230769230769231,0.7451029913702094,0.900478689530104,0.8421677019381915,0.9642695359976443
discovery_screen,separate_components,Mixed Rejection,19,26,15,4,11,0.7894736842105263,0.5769230769230769,0.5666572155618583,0.9149232336708375,0.3894861374659171,0.7445555668634343
author_validation,four_class_catboost,No Rejection,176,173,154,22,19,0.875,0.8901734104046243,0.8179956290399395,0.9159841822092947,0.8348412270888746,0.9285544206301443
author_validation,four_class_catboost,Antibody-mediated Rejection,56,59,47,9,12,0.8392857142857143,0.7966101694915254,0.7219379333025048,0.9130733239240486,0.6773198772795009,0.879637275797828
author_validation,four_class_catboost,T cell-mediated Rejection,95,100,73,22,27,0.7684210526315789,0.73,0.6741746146961753,0.8418032007721075,0.6356788323205499,0.8073041585042365
author_validation,four_class_catboost,Mixed Rejection,18,13,7,11,6,0.3888888888888889,0.5384615384615384,0.2030524657216362,0.613809583977621,0.29143795714506004,0.7679393219046169
author_validation,four_class_logistic,No Rejection,176,174,155,21,19,0.8806818181818182,0.8908045977011494,0.8244807759996559,0.9206199414806274,0.8357542840235563,0.9289717866117497
author_validation,four_class_logistic,Antibody-mediated Rejection,56,60,46,10,14,0.8214285714285714,0.7666666666666667,0.7015881796334894,0.900001432475877,0.6456372962239805,0.8556043826335717
author_validation,four_class_logistic,T cell-mediated Rejection,95,96,72,23,24,0.7578947368421053,0.75,0.6628317922510378,0.8329115990812341,0.654901889760503,0.8258603163106593
author_validation,four_class_logistic,Mixed Rejection,18,15,10,8,5,0.5555555555555556,0.6666666666666666,0.33716415642042774,0.7544048187299437,0.41713547738519774,0.8482367556028526
author_validation,separate_components,No Rejection,176,185,161,15,24,0.9147727272727273,0.8702702702702703,0.8641540642072312,0.9476720906593461,0.8142265904378507,0.9112496945662922
author_validation,separate_components,Antibody-mediated Rejection,56,54,43,13,11,0.7678571428571429,0.7962962962962963,0.6423184678498916,0.8590062089079139,0.6709769331166456,0.8822594591257861
author_validation,separate_components,T cell-mediated Rejection,95,83,70,25,13,0.7368421052631579,0.8433734939759037,0.6403397907589585,0.8149347523012911,0.7502486450452769,0.9061198772487894
author_validation,separate_components,Mixed Rejection,18,23,10,8,13,0.5555555555555556,0.43478260869565216,0.33716415642042774,0.7544048187299437,0.25634635325674215,0.6318862491498354
