repeat,seed,family,model,selected,n,positives,threshold,tn,fp,fn,tp,sensitivity,specificity,ppv,npv,roc_auc,average_precision
1,20260917,logistic,logistic_C0.1,False,210,139,0.7537403368509463,67,4,7,132,0.9496402877697842,0.9436619718309859,0.9705882352941176,0.9054054054054054,0.988347350288783,0.9945574720799426
1,20260917,catboost,catboost_depth6,True,210,139,0.6999053145249076,67,4,4,135,0.9712230215827338,0.9436619718309859,0.9712230215827338,0.9436619718309859,0.9921977910629243,0.9963789093094737
2,20260918,logistic,logistic_C0.01,False,210,139,0.6661220427338289,67,4,15,124,0.8920863309352518,0.9436619718309859,0.96875,0.8170731707317073,0.9703110750835952,0.9830627846851313
2,20260918,catboost,catboost_depth4,True,210,139,0.8253278169266178,69,2,14,125,0.8992805755395683,0.971830985915493,0.984251968503937,0.8313253012048193,0.9761880636336001,0.9839730046469888
3,20260919,logistic,logistic_C0.01,False,210,139,0.7667275800336486,69,2,13,126,0.9064748201438849,0.971830985915493,0.984375,0.8414634146341463,0.9837876177930895,0.9921733718401876
3,20260919,catboost,catboost_depth4,True,210,139,0.8737530828154029,68,3,9,130,0.935251798561151,0.9577464788732394,0.9774436090225563,0.8831168831168831,0.9835849630155031,0.992214774893093
4,20260920,logistic,logistic_C1,True,210,139,0.8619838368817434,66,5,13,126,0.9064748201438849,0.9295774647887324,0.9618320610687023,0.8354430379746836,0.9721349680818725,0.9854653265202642
4,20260920,catboost,catboost_depth4,False,210,139,0.8139067844310455,66,5,15,124,0.8920863309352518,0.9295774647887324,0.9612403100775194,0.8148148148148148,0.9779106292430844,0.988097013435785
5,20260921,logistic,logistic_C0.1,True,210,139,0.7767557377642522,70,1,11,128,0.920863309352518,0.9859154929577465,0.9922480620155039,0.8641975308641975,0.9884486776775763,0.9943613034614094
5,20260921,catboost,catboost_depth6,False,210,139,0.8449413672525337,69,2,10,129,0.9280575539568345,0.971830985915493,0.9847328244274809,0.8734177215189873,0.9827743439051575,0.992377703872059
6,20260922,logistic,logistic_C0.01,False,210,139,0.7384367086361092,69,2,14,125,0.8992805755395683,0.971830985915493,0.984251968503937,0.8313253012048193,0.9677778903637653,0.9777724819995297
6,20260922,catboost,catboost_depth4,True,210,139,0.8851161121959911,69,2,21,118,0.8489208633093526,0.971830985915493,0.9833333333333333,0.7666666666666667,0.9703110750835952,0.9832731147348139
7,20260923,logistic,logistic_C0.1,True,210,139,0.7308490326769788,68,3,14,125,0.8992805755395683,0.9577464788732394,0.9765625,0.8292682926829268,0.9692978011956632,0.97626821462484
7,20260923,catboost,catboost_depth4,False,210,139,0.816622029478699,70,1,8,131,0.9424460431654677,0.9859154929577465,0.9924242424242424,0.8974358974358975,0.9746681528017023,0.9838989766778292
8,20260924,logistic,logistic_C0.01,False,210,139,0.7467029534715925,69,2,19,120,0.8633093525179856,0.971830985915493,0.9836065573770492,0.7840909090909091,0.9655486878103151,0.9820135285610929
8,20260924,catboost,catboost_depth6,True,210,139,0.8841535838313965,68,3,15,124,0.8920863309352518,0.9577464788732394,0.9763779527559056,0.8192771084337349,0.9680818725301449,0.9827366163567961
9,20260925,logistic,logistic_C0.1,False,210,139,0.9134021157810345,71,0,31,108,0.7769784172661871,1.0,1.0,0.696078431372549,0.9705137298611816,0.9870174906963181
9,20260925,catboost,catboost_depth4,True,210,139,0.8420883894073296,71,0,23,116,0.8345323741007195,1.0,1.0,0.7553191489361702,0.984091599959469,0.9927742875372215
10,20260926,logistic,logistic_C0.01,False,210,139,0.7219840512103514,68,3,12,127,0.9136690647482014,0.9577464788732394,0.9769230769230769,0.85,0.9777079744654981,0.9869137411918746
10,20260926,catboost,catboost_depth4,True,210,139,0.8444782260065602,70,1,15,124,0.8920863309352518,0.9859154929577465,0.992,0.8235294117647058,0.9807477961292937,0.9886257294161661
11,20260927,logistic,logistic_C0.01,False,210,139,0.6843039598633572,65,6,11,128,0.920863309352518,0.9154929577464789,0.9552238805970149,0.8552631578947368,0.9706150572499747,0.9833041976666532
11,20260927,catboost,catboost_depth4,True,210,139,0.8233392671097126,67,4,16,123,0.8848920863309353,0.9436619718309859,0.968503937007874,0.8072289156626506,0.9718309859154929,0.9856730134937737
12,20260928,logistic,logistic_C0.01,True,210,139,0.6926817939666512,69,2,10,129,0.9280575539568345,0.971830985915493,0.9847328244274809,0.8734177215189873,0.9849022190698146,0.992693322013005
12,20260928,catboost,catboost_depth4,False,210,139,0.8291509841351786,70,1,13,126,0.9064748201438849,0.9859154929577465,0.9921259842519685,0.8433734939759037,0.9843955821258487,0.9917692809531152
13,20260929,logistic,logistic_C1,True,210,139,0.8915330123266055,63,8,14,125,0.8992805755395683,0.8873239436619719,0.9398496240601504,0.8181818181818182,0.9565305502077212,0.97351041517569
13,20260929,catboost,catboost_depth6,False,210,139,0.8239196583815771,65,6,8,131,0.9424460431654677,0.9154929577464789,0.9562043795620438,0.8904109589041096,0.9733508967473908,0.9858207352977408
14,20260930,logistic,logistic_C0.01,False,210,139,0.6781769565847815,69,2,7,132,0.9496402877697842,0.971830985915493,0.9850746268656716,0.9078947368421053,0.9828756712939507,0.9930913882496792
14,20260930,catboost,catboost_depth6,True,210,139,0.7671679926083707,67,4,9,130,0.935251798561151,0.9436619718309859,0.9701492537313433,0.881578947368421,0.9856115107913669,0.9930645179959756
15,20260931,logistic,logistic_C0.01,True,210,139,0.715272714497056,68,3,19,120,0.8633093525179856,0.9577464788732394,0.975609756097561,0.7816091954022989,0.9679805451413517,0.9764420479974134
15,20260931,catboost,catboost_depth4,False,210,139,0.8472640732972587,69,2,20,119,0.8561151079136691,0.971830985915493,0.9834710743801653,0.7752808988764045,0.9710203668051475,0.9813285986891912
16,20260932,logistic,logistic_C0.01,True,210,139,0.7483423698886488,67,4,20,119,0.8561151079136691,0.9436619718309859,0.967479674796748,0.7701149425287356,0.9674739081973858,0.9824980274258243
16,20260932,catboost,catboost_depth4,False,210,139,0.8897695614441854,67,4,20,119,0.8561151079136691,0.9436619718309859,0.967479674796748,0.7701149425287356,0.9603809909818624,0.9763359731734648
17,20260933,logistic,logistic_C0.1,False,210,139,0.8117818769758117,67,4,13,126,0.9064748201438849,0.9436619718309859,0.9692307692307692,0.8375,0.9834836356267098,0.9921237431630037
17,20260933,catboost,catboost_depth6,True,210,139,0.9288785201677675,69,2,18,121,0.8705035971223022,0.971830985915493,0.983739837398374,0.7931034482758621,0.9860168203465396,0.9927066432884536
18,20260934,logistic,logistic_C0.01,False,210,139,0.7489201316497291,68,3,18,121,0.8705035971223022,0.9577464788732394,0.9758064516129032,0.7906976744186046,0.9749721349680819,0.987202252647652
