repeat,seed,part,No Rejection,T cell-mediated Rejection,Antibody-mediated Rejection,Mixed Rejection
1,20260917,fit,214,205,165,46
1,20260917,screen,71,68,56,15
1,20260917,assessment,71,69,55,15
2,20260918,fit,214,204,166,46
2,20260918,screen,71,69,55,15
2,20260918,assessment,71,69,55,15
3,20260919,fit,213,205,166,46
3,20260919,screen,72,68,55,15
3,20260919,assessment,71,69,55,15
4,20260920,fit,213,205,166,46
4,20260920,screen,72,68,55,15
4,20260920,assessment,71,69,55,15
5,20260921,fit,214,205,165,46
5,20260921,screen,71,68,56,15
5,20260921,assessment,71,69,55,15
6,20260922,fit,214,204,166,46
6,20260922,screen,71,69,55,15
6,20260922,assessment,71,69,55,15
7,20260923,fit,214,204,166,46
7,20260923,screen,71,69,55,15
7,20260923,assessment,71,69,55,15
8,20260924,fit,214,205,165,46
8,20260924,screen,71,68,56,15
8,20260924,assessment,71,69,55,15
9,20260925,fit,213,205,166,46
9,20260925,screen,72,68,55,15
9,20260925,assessment,71,69,55,15
10,20260926,fit,214,204,166,46
10,20260926,screen,71,69,55,15
10,20260926,assessment,71,69,55,15
11,20260927,fit,214,204,166,46
11,20260927,screen,71,69,55,15
11,20260927,assessment,71,69,55,15
12,20260928,fit,214,205,165,46
12,20260928,screen,71,68,56,15
12,20260928,assessment,71,69,55,15
13,20260929,fit,214,205,165,46
13,20260929,screen,71,68,56,15
13,20260929,assessment,71,69,55,15
14,20260930,fit,214,205,165,46
14,20260930,screen,71,68,56,15
14,20260930,assessment,71,69,55,15
15,20260931,fit,214,205,165,46
15,20260931,screen,71,68,56,15
15,20260931,assessment,71,69,55,15
16,20260932,fit,214,204,166,46
16,20260932,screen,71,69,55,15
16,20260932,assessment,71,69,55,15
17,20260933,fit,214,205,165,46
17,20260933,screen,71,68,56,15
17,20260933,assessment,71,69,55,15
18,20260934,fit,214,205,165,46
18,20260934,screen,71,68,56,15
18,20260934,assessment,71,69,55,15
19,20260935,fit,214,204,166,46
19,20260935,screen,71,69,55,15
19,20260935,assessment,71,69,55,15
20,20260936,fit,214,204,166,46
20,20260936,screen,71,69,55,15
20,20260936,assessment,71,69,55,15
