repeat,fn_catboost_minus_logistic,fp_catboost_minus_logistic,sensitivity_catboost_minus_logistic,specificity_catboost_minus_logistic,roc_auc_catboost_minus_logistic
1,-3,0,0.021582733812949617,0.0,0.003850440774141317
2,-1,-2,0.007194244604316502,0.028169014084507116,0.005876988550004958
3,-4,1,0.02877697841726612,-0.014084507042253613,-0.00020265477758640849
4,2,0,-0.014388489208633115,0.0,0.005775661161211865
5,-1,1,0.007194244604316502,-0.014084507042253502,-0.0056743337724187715
6,7,0,-0.050359712230215736,0.0,0.002533184719829884
7,-6,-2,0.043165467625899345,0.028169014084507116,0.005370351606039048
8,-4,1,0.02877697841726623,-0.014084507042253613,0.002533184719829773
9,-8,0,0.05755395683453235,0.0,0.013577870098287481
10,3,-2,-0.021582733812949617,0.028169014084507116,0.003039821663795683
11,5,-2,-0.03597122302158273,0.028169014084507005,0.0012159286655182289
12,3,-1,-0.021582733812949617,0.014084507042253502,-0.0005066369439659102
13,-6,-2,0.043165467625899345,0.028169014084507005,0.016820346539669684
14,2,2,-0.014388489208633115,-0.028169014084507116,0.0027358394974161815
15,1,-1,-0.007194244604316502,0.014084507042253613,0.003039821663795794
16,0,0,0.0,0.0,-0.007092917215523409
17,5,-2,-0.03597122302158273,0.028169014084507116,0.002533184719829773
18,4,-2,-0.02877697841726623,0.028169014084507116,0.0024318573310365688
19,-4,1,0.02877697841726612,-0.014084507042253613,0.0035464586077617044
20,2,0,-0.014388489208633115,0.0,-0.0014185834431046374
