repeat,seed,model,family,complexity,n,positives,threshold,tn,fp,fn,tp,sensitivity,specificity,ppv,npv,roc_auc,average_precision,fit_seconds,reload_max_abs_difference
1,20260917,logistic_C0.01,logistic,0.01,210,139,0.6529721018564226,68,3,13,126,0.9064748201438849,0.9577464788732394,0.9767441860465116,0.8395061728395061,0.9775053196879117,0.988916919413091,0.03816270000243094,0.0
1,20260917,logistic_C0.1,logistic,0.1,210,139,0.7537403368509463,68,3,13,126,0.9064748201438849,0.9577464788732394,0.9767441860465116,0.8395061728395061,0.9804438139629141,0.9906499864386987,0.04316770000150427,0.0
1,20260917,logistic_C1,logistic,1.0,210,139,0.8152561781769797,68,3,13,126,0.9064748201438849,0.9577464788732394,0.9767441860465116,0.8395061728395061,0.9801398317965346,0.9905867276293626,0.04239300001063384,0.0
1,20260917,catboost_depth4,catboost,4.0,210,139,0.7275798667021023,69,2,13,126,0.9064748201438849,0.971830985915493,0.984375,0.8414634146341463,0.9880433681224035,0.9941278054506891,7.729741100003594,0.0
1,20260917,catboost_depth6,catboost,6.0,210,139,0.6999053145249076,69,2,13,126,0.9064748201438849,0.971830985915493,0.984375,0.8414634146341463,0.9892592967879218,0.9945149472693664,23.699121000012383,0.0
2,20260918,logistic_C0.01,logistic,0.01,210,139,0.6661220427338289,61,10,13,126,0.9064748201438849,0.8591549295774648,0.9264705882352942,0.8243243243243243,0.9609889553146216,0.9797810494239543,0.031357500003650784,0.0
2,20260918,logistic_C0.1,logistic,0.1,210,139,0.8119952816998194,61,10,13,126,0.9064748201438849,0.8591549295774648,0.9264705882352942,0.8243243243243243,0.9586584253723782,0.9780749791710709,0.03791020000062417,0.0
2,20260918,logistic_C1,logistic,1.0,210,139,0.9184738945953654,61,10,13,126,0.9064748201438849,0.8591549295774648,0.9264705882352942,0.8243243243243243,0.9553146215422028,0.9761162970809714,0.038966000007349066,0.0
2,20260918,catboost_depth4,catboost,4.0,210,139,0.8253278169266178,62,9,13,126,0.9064748201438849,0.8732394366197183,0.9333333333333333,0.8266666666666667,0.9579491336508258,0.9772008624034301,7.439368699997431,0.0
2,20260918,catboost_depth6,catboost,6.0,210,139,0.8563807909137783,62,9,13,126,0.9064748201438849,0.8732394366197183,0.9333333333333333,0.8266666666666667,0.9560239132637551,0.975496060135545,24.414105800009565,0.0
3,20260919,logistic_C0.01,logistic,0.01,210,138,0.7667275800336486,69,3,13,125,0.9057971014492754,0.9583333333333334,0.9765625,0.8414634146341463,0.9788647342995169,0.9903588188794417,0.03264829999534413,0.0
3,20260919,logistic_C0.1,logistic,0.1,210,138,0.8636057844872322,69,3,13,125,0.9057971014492754,0.9583333333333334,0.9765625,0.8414634146341463,0.9758454106280193,0.9883065912042223,0.038974499999312684,0.0
3,20260919,logistic_C1,logistic,1.0,210,138,0.9276055401314977,69,3,13,125,0.9057971014492754,0.9583333333333334,0.9765625,0.8414634146341463,0.9732286634460547,0.9864099425981268,0.04113050000160001,0.0
