repeat,seed,selected_family,selected_model,logistic_model,catboost_model,screen_false_flags_tied,screen_false_flags_catboost_minus_logistic
1,20260917,catboost,catboost_depth6,logistic_C0.1,catboost_depth6,False,-1
2,20260918,catboost,catboost_depth4,logistic_C0.01,catboost_depth4,False,-1
3,20260919,catboost,catboost_depth4,logistic_C0.01,catboost_depth4,False,-1
4,20260920,logistic,logistic_C1,logistic_C1,catboost_depth4,True,0
5,20260921,logistic,logistic_C0.1,logistic_C0.1,catboost_depth6,False,1
6,20260922,catboost,catboost_depth4,logistic_C0.01,catboost_depth4,False,-1
7,20260923,logistic,logistic_C0.1,logistic_C0.1,catboost_depth4,False,1
8,20260924,catboost,catboost_depth6,logistic_C0.01,catboost_depth6,False,-2
9,20260925,catboost,catboost_depth4,logistic_C0.1,catboost_depth4,False,-1
10,20260926,catboost,catboost_depth4,logistic_C0.01,catboost_depth4,False,-2
11,20260927,catboost,catboost_depth4,logistic_C0.01,catboost_depth4,False,-2
12,20260928,logistic,logistic_C0.01,logistic_C0.01,catboost_depth4,False,1
13,20260929,logistic,logistic_C1,logistic_C1,catboost_depth6,False,2
14,20260930,catboost,catboost_depth6,logistic_C0.01,catboost_depth6,False,-1
15,20260931,logistic,logistic_C0.01,logistic_C0.01,catboost_depth4,True,0
16,20260932,logistic,logistic_C0.01,logistic_C0.01,catboost_depth4,False,1
17,20260933,catboost,catboost_depth6,logistic_C0.1,catboost_depth6,False,-4
18,20260934,catboost,catboost_depth6,logistic_C0.01,catboost_depth6,True,0
19,20260935,catboost,catboost_depth6,logistic_C0.01,catboost_depth6,True,0
20,20260936,catboost,catboost_depth6,logistic_C0.01,catboost_depth6,True,0
