gene,importance
GBP4,9.00923058173156
BK  large T Ag,5.038100260394733
BK  VP1,3.8523447584561485
GBP5,3.570645390810641
PLA1A,3.082208434906029
NLRC5,2.8588612628377614
CXCL9,2.674301178120368
CXCL8,2.6650668977025602
CXCL11,2.483429423969893
WARS,2.3882447471532817
LCN2,2.3197482298143575
KIT,2.0483712418327142
CCL19,2.041139861841383
HLA-B,1.8554540959585732
CXCL1/2,1.6979059095281632
KLRK1,1.4021052454567895
MMP14,1.3582514821845848
IL1R1,1.1910672452664606
HLA-F,1.0991051835696095
TNFRSF1B,1.0137420206670222
PDGFRB,0.9937426553924871
IFNAR1,0.9889595783750745
HLA-C,0.9847918943029149
NCAM1,0.8245596149560821
EHD3,0.7790945531268881
LGALS3,0.7415224684274775
PRF1,0.7358884909989553
IMPDH2,0.7150177799642099
IL2RB,0.7133597409220406
KLRB1,0.7011163443255125
KIR_Inhibiting_Subgroup_1,0.6329467875678738
SMAD3,0.6134123009679946
ST5,0.5415511981704414
TAP1,0.5376482821820616
IL21R,0.5253975580474681
SH2D1B,0.4623211248864726
GNG11,0.4425423623683162
IKZF1,0.4160018987345633
PLAT,0.41216124038715757
SLAMF6,0.410004727789419
IL33,0.40359927299000603
AIM2,0.3802143533175066
IGHM,0.3597018873809521
CMV UL83,0.3354858799177467
MMP9,0.3333878349441123
TNFRSF9,0.33312924863373394
TGFBR1,0.33107504592064385
MAPK11,0.32763567096405727
APOL2,0.32129654537204994
SMARCA4,0.3198448101636026
CCL18,0.3179126094313006
AHR,0.30303580964552157
PLAUR,0.299585736683821
RAMP3,0.2973948816863475
CD58,0.2931370939405015
STAT4,0.2922877885624971
P2RX4,0.2800721114799169
IL1RAP,0.2776046430542694
RORA,0.2762527870371826
PTPN22,0.2758714701198368
IFIT1,0.2718208256797767
MYL9,0.268050282262395
MAPK14,0.2673106876678585
TRDC,0.26303424938480563
TANK,0.2611503395914741
NCR1,0.2551659298977499
C1S,0.25440514239055767
OSMR,0.2526310471799432
MX2,0.24805352696207497
RGS5,0.24525421054146396
IL1B,0.23926544137337158
MIR155HG,0.23833554955762395
HLA-DPA1,0.23804760621848509
TNFAIP3,0.23510949940861423
TLR2,0.2344717667749724
JAK2,0.2310524812610408
NLRP3,0.23093254909789743
IFI30,0.22522108624427886
HSD11B1,0.22383501388093663
CDH13,0.22318734230109172
CD59,0.2154235015038533
IL10RA,0.2144913836437149
CCR5,0.21193443776018092
ISG20,0.20666151921977918
DNMT1,0.20446882146959372
TNFRSF18,0.20411625514338283
SELL,0.20103448447301048
SELPLG,0.19704315953576657
CD81,0.19572479575925894
PIK3CG,0.19341627302706682
CD38,0.19123591115000266
TPMT,0.18678465327203347
LCK,0.18631360320355062
CD1D,0.18516227079796369
CSF1,0.18495879453201622
ARG2,0.18284334193103238
SYK,0.1827235946608118
TFF3,0.18056522327211869
TAPBP,0.18027389039600014
BCL3,0.17871260462970603
CIITA,0.17832805829538947
TNFRSF17,0.17768947462773615
ZAP70,0.17750374378542655
IL1RL1,0.17648125508450666
FABP1,0.17537289689647587
EGFR,0.17222844283003988
HLA-DQB1,0.17115943848579007
FYN,0.1707885560027758
HK2,0.16974252842786564
CXCR4,0.16137876624812264
PLAAT4,0.1581300523491797
CD55,0.1572591310883584
CX3CL1,0.15724014909837863
KLRF1,0.15532591606019483
BCL2A1,0.15491292464511217
INPP5D,0.1535482760945129
FCGR3A/B,0.1530124358475495
TYK2,0.15152780458109888
LCP2,0.14394868527653235
IFITM3,0.14381485693838975
TCF7,0.14356134364513243
TNFSF10,0.14269608633828115
PSMB10,0.1420077761466645
HLA-DRA,0.13941871511312914
AQP1,0.13845859020285634
ARRB2,0.13701888437077725
HNF1A,0.13660315044917784
SLC11A1,0.13587379963893184
SLA,0.13378504948657444
CFB,0.1329957689852281
IL1A,0.12878672862507448
VCAN,0.12683646297835455
TFRC,0.12633150741080343
IL23R,0.12604867630610267
B3GAT1,0.12570463283598138
TGFBI,0.12489588648557258
FCER1G,0.12070319245657153
MET,0.11939388706928837
ADAMDEC1,0.117622583526553
CFH,0.11723542183770587
NKG7,0.11698121537855026
IGF1,0.1166125587122194
CD74,0.11631219172662556
SLAMF8,0.11619155777391227
TEK,0.11569039491866158
TIGIT,0.11430846752763683
SFTPC,0.11389535089898692
CTNNB1,0.11370300171605441
GAPDH,0.1133301971439884
LTF,0.11266638443857384
CD47,0.11254093612406649
CFLAR,0.10768268281586088
HLA-DMA,0.10696245242483464
SERPINA3,0.10644006664137148
RASIP1,0.10557795009900886
SOCS3,0.10455449178281642
BMP7,0.1035320815799061
PSMB8,0.10311485708018868
GBP2,0.10214051021484881
NPHS1,0.10205466419891553
EBI3,0.10067015144396953
IL12B,0.10012620417260149
HLA-DPB1,0.09954551318993494
CHCHD10,0.09533480992977612
AGR2,0.09523477808341892
HFE,0.09136415516995802
MEF2C,0.09092074060181199
CD86,0.09077644236510908
VSIR,0.0900710626885203
NOS2,0.08959115305376038
IL5,0.08864448099970929
BTK,0.08828119759116232
BST2,0.08794132972445816
TRDN,0.08724124799916658
SELP,0.08710100748002879
HLA-DRB3,0.08663981840167125
KLRD1,0.08605468027522545
ABCB1,0.08561373982852502
RAPGEF5,0.08465101781313174
TLR8,0.08438223131551675
TNFRSF14,0.08386922089588923
CCL20,0.08299574932232202
CSF3R,0.0829280692057369
NOTCH2,0.08242468541089318
IL23A,0.08144508158034083
KDR,0.08106858448468854
RASSF9,0.08008224396719023
CTSW,0.07978272446464732
WNT9A,0.0797546110105329
MAPK13,0.07927838544688408
TLR4,0.07885733754637034
SMAD4,0.07863069108144694
CD69,0.07845188597615255
KIR_Inhibiting_Subgroup_2,0.07842574585088173
IL18RAP,0.07605634469660634
CXCR6,0.07586684560044964
DNMT3A,0.07547131904893295
EBV LMP2,0.07459218356255325
PALMD,0.07452444692062203
ALAS1,0.07401222744700801
IL21,0.07338608437133408
CCR1,0.07233535698187643
HPRT1,0.07184631193174769
SOD2,0.07137876988532915
IFI27,0.07118770976816886
CD6,0.06977821211283237
CCL5,0.0695848774704073
BTLA,0.06912874047764869
TBX21,0.06884756602008005
LAG3,0.0687714813738427
RAB40C,0.06846260809292767
MAPK12,0.0681874107296031
CD14,0.06735448734490891
PECAM1,0.06670038387664949
PSME2,0.06477146712201748
IGHA1,0.06448728466893751
MMRN2,0.06355875997421816
KLRC1,0.06326908854926099
C3,0.06313048803948247
IFI6,0.06227067885102175
IGHG2,0.06141756078691698
ANKRD1,0.0609335222050793
ACVR1,0.06090265375915185
CCL3/L1,0.06063522635383131
IFNGR1,0.06062707442711609
SFTPD,0.060045433583051595
CD7,0.059249560152850114
CD8B,0.05911580116317675
HEG1,0.058577907260409186
CTSS,0.05826320082722402
GBP1,0.05793525216579024
SCGB1A1,0.05756843995040764
GATA3,0.05748102987431242
CD96,0.05744645553985999
CD48,0.057247339786257304
FOSL1,0.05619382129859011
TNFSF18,0.05497646261156494
DUSP2,0.054909692856287697
FCGR2A,0.053794329803063604
OASL,0.05362191701819904
ICAM2,0.052989422615455646
FJX1,0.0524699059593124
IL4,0.051949105652583635
SOCS1,0.051603770547624495
SLAMF7,0.05017007529439597
ATF3,0.05013526561296699
GIMAP5,0.05006306367121498
GNLY,0.049902470964338905
HLA-A,0.04871648802573999
NPPA,0.04863726985501386
CASP8,0.04732466834494329
CSF3,0.045663697607220964
COL1A1,0.04485663124097
C5AR1,0.04356769065142457
NOTCH1,0.04344577889185961
COL4A1,0.04310034074193088
CCR6,0.04291949834715435
TAP2,0.04281592547735565
PSME1,0.042792521042120606
SKI,0.04274624418172561
ABCC2,0.04264666914563701
CTLA4,0.04207329682914566
OR2I1P,0.04181292697523741
AKR1C3,0.04161527834825477
ITGB2,0.0412470394666312
CETP,0.04107245387517316
LY96,0.04106862610149217
CSF2RB,0.040444992698275554
LRRC32,0.039696273162672234
MALL,0.03958006714623913
ITGAM,0.03953545044486483
IL10RB,0.03943257474794437
TIMP1,0.03930839974697481
FCGR1A,0.03906329668513637
COL4A4,0.038994682181173225
LYVE1,0.038507524191468974
AQP2,0.03779932823420863
MX1,0.0377528058826943
RPL19,0.03725922137942875
FADD,0.03680379207891643
PLK2,0.03635556971518804
LTBR,0.03621091753640229
XAF1,0.035954661470380525
BMPER,0.035513093758793544
CD8A,0.03522862986952906
IGHG1,0.03511241773280156
RHOU,0.03503050010710085
AGR3,0.03478374692058817
ANXA1,0.03453182758301796
HDAC6,0.0344991214003664
HYAL1,0.0344328827237614
MMP12,0.03389448977365325
KIR3DL1,0.033048243207239675
PTPRO,0.03281600236745337
ALOX15,0.032591187973440044
IL2RG,0.0325210922180174
CCL21,0.03246876496024401
ICAM1,0.03203168946897795
COL4A5,0.03159804948486641
LST1,0.03142430635210582
IRF1,0.030789208970294874
IFITM2,0.029734488170399802
PADI4,0.02960828673464701
GZMB,0.02949288574254658
TNF,0.029262784659563026
CD247,0.029207001171672797
CCR2,0.028642531019935583
STAT5B,0.028616482411159005
JUN,0.028392963356248926
PPP3CA,0.028247586873445776
CD160,0.027298646105253392
AICDA,0.027242004349849212
ENG,0.026559502783098373
NFIL3,0.026442772023895868
KLRG1,0.026129449786982215
RELB,0.02598660395389556
PTPN6,0.025855957806432746
CD40,0.025674543204229752
IRF7,0.025463376749856454
SIGLEC5,0.024738012535122266
SMAD2,0.02469546773687798
TGFB1,0.024462895987527537
SEMA7A,0.02339336727572196
ADAM8,0.023104709754343672
SAMHD1,0.022720856563002753
ADAMTS1,0.022679036416255894
LHX6,0.022614300229029376
VCAM1,0.022569615934227044
MICA,0.022407022109836177
MRC1,0.022019926405159856
POU2AF1,0.021693136951096533
FCER1A,0.021216059984409966
CASP3,0.020394705828328835
TRAF4,0.020113803655307957
IL13,0.019891203490510736
BASP1,0.019858081381904393
APOLD1,0.019788521475836356
FOS,0.019493635901539113
KLHL13,0.01941043684445046
FASLG,0.018974024821344523
CD209,0.01856753019502195
SOX7,0.018462621079933697
TNC,0.01768820701645032
STAT5A,0.017485797992871695
TRIM22,0.01735626374037565
CXCL13,0.01707962986661966
TGIF1,0.01682282116170422
COL4A3,0.016566085926316095
VWF,0.016491963735862748
CCL4,0.016352837712383793
CD2,0.01601645860622629
SOST,0.015954851339024644
GZMA,0.01488957383455852
BRWD1,0.014536871001241214
IL1R2,0.014265583425079253
CD19,0.014092943008105922
CD68,0.014060399412561975
TIPARP,0.01312972263119737
PDGFA,0.012904311325722465
DDX50,0.012486044171066609
CD83,0.012015417448896748
ERRFI1,0.011792619572553467
HIF1A,0.011720045685539485
MCM6,0.011602105241433883
BATF,0.011329166934518195
CDH5,0.011200413370660288
RORC,0.011123734416614317
SHROOM3,0.010965214108088676
CFI,0.010591193616165347
INHBC,0.010086837185865404
CSF2,0.009376365773179659
TLR9,0.009273057264787023
CD80,0.008162488271835815
NFKBIZ,0.007888942792745456
SLC4A1,0.0076694942239380805
CPA3,0.007649658172937847
THEMIS,0.00732421524669247
