target,model,features,n,positives,roc_auc,average_precision,threshold,sensitivity,specificity,ppv,npv,tp,fp,tn,fn,accuracy,brier,seconds
any_rejection,catboost_all_depth4,758,263,174,0.9762366008007233,0.9864819834798964,0.8765880870219778,0.9022988505747126,0.9438202247191011,0.9691358024691358,0.8316831683168316,157,5,84,17,0.9163498098859315,0.049376691806132564,7.634200811386108
any_rejection,catboost_all_depth6,758,263,174,0.9759137285289939,0.9865987525416958,0.9161182310758544,0.9022988505747126,0.9438202247191011,0.9691358024691358,0.8316831683168316,157,5,84,17,0.9163498098859315,0.05170256741594563,25.294002771377563
any_rejection,catboost_top50,50,263,174,0.9552499031383185,0.9719030938471847,0.6733963300170019,0.9022988505747126,0.9101123595505618,0.9515151515151515,0.826530612244898,157,8,81,17,0.9049429657794676,0.06485681669064194,0.7388920783996582
any_rejection,catboost_top200,200,263,174,0.9743639416246932,0.9865404113021079,0.8078732901642686,0.9022988505747126,0.9325842696629213,0.9631901840490797,0.83,157,6,83,17,0.9125475285171103,0.05475314347531297,2.2988319396972656
any_rejection,logistic_all,758,263,174,0.9696500064574454,0.9799762951522917,0.8536733723106492,0.9022988505747126,0.9325842696629213,0.9631901840490797,0.83,157,6,83,17,0.9125475285171103,0.05742518633645575,0.04556083679199219
any_rejection,logistic_top50,50,263,174,0.9500839467906497,0.9723156219038659,0.6451950811567888,0.9022988505747126,0.9101123595505618,0.9515151515151515,0.826530612244898,157,8,81,17,0.9049429657794676,0.0733852099424243,0.030452728271484375
any_rejection,extra_trees,758,263,174,0.9720392612682422,0.9844594046697168,0.7340416666666668,0.9022988505747126,0.9325842696629213,0.9631901840490797,0.83,157,6,83,17,0.9125475285171103,0.05591888441988806,1.2730731964111328
any_rejection,hist_boosting,758,263,174,0.9718455379052047,0.9833477835489737,0.9017780974136883,0.9022988505747126,0.9325842696629213,0.9631901840490797,0.83,157,6,83,17,0.9125475285171103,0.053937129593164636,1.0279059410095215
any_rejection,single_gene_IFNG,1,263,174,0.8132506780317705,0.8840536485154652,0.5207579856992155,0.9022988505747126,0.5730337078651685,0.8051282051282052,0.75,157,38,51,17,0.7908745247148289,0.15789787015907494,0.010507345199584961
antibody_mediated_component,catboost_all_depth4,758,263,88,0.962857142857143,0.9503888547299291,0.25980267919979405,0.9090909090909091,0.9314285714285714,0.8695652173913043,0.9532163742690059,80,12,163,8,0.9239543726235742,0.058876477377382976,8.545638799667358
antibody_mediated_component,catboost_all_depth6,758,263,88,0.9662337662337662,0.9562229564891294,0.28974403910876173,0.9090909090909091,0.9371428571428572,0.8791208791208791,0.9534883720930233,80,11,164,8,0.9277566539923955,0.054243647552686215,26.06904101371765
antibody_mediated_component,catboost_top50,50,263,88,0.9592207792207793,0.9421982283358232,0.28508151442773133,0.9090909090909091,0.9085714285714286,0.8333333333333334,0.9520958083832335,80,16,159,8,0.908745247148289,0.06745026507619203,0.7112510204315186
antibody_mediated_component,catboost_top200,200,263,88,0.9634415584415584,0.9525772188416114,0.20023064685477435,0.9090909090909091,0.9142857142857143,0.8421052631578947,0.9523809523809523,80,15,160,8,0.9125475285171103,0.05886166265261119,2.284302234649658
antibody_mediated_component,logistic_all,758,263,88,0.9550649350649351,0.9469132546909218,0.13621023585223427,0.9090909090909091,0.8628571428571429,0.7692307692307693,0.949685534591195,80,24,151,8,0.8783269961977186,0.059537402648652295,0.045783281326293945
antibody_mediated_component,logistic_top50,50,263,88,0.9566233766233766,0.9389740115079177,0.2201177363823937,0.9090909090909091,0.84,0.7407407407407407,0.9483870967741935,80,28,147,8,0.8631178707224335,0.07144848973406781,0.029538631439208984
antibody_mediated_component,extra_trees,758,263,88,0.9647402597402598,0.9533539908878583,0.3705000000000001,0.9090909090909091,0.9371428571428572,0.8791208791208791,0.9534883720930233,80,11,164,8,0.9277566539923955,0.06973364962901352,1.2540841102600098
